SITE_ID,VISIT_NO,UID,nlaSITE_ID,COMID,VolumeCorrect,FetchN,FetchNE,FetchE,FetchSE,MaxDepthCorrect,MeanDepthCorrect
NLA12_CA-121,1,6659,NA,14930103,43850466.11,4692.857097,3790.74269,2705.614031,3791.768381,15.2414875,4.359203876
NLA12_CA-123,1,7989,NA,8921715,115790.0438,376.3714436,342.3238814,362.2203602,341.9138353,2.611033582,1.11048055
NLA12_CA-128,1,7563,NA,8297113,7810.027086,149.5883729,84.29774407,86.57866267,84.95761636,1.604136174,0.75577153
NLA12_CA-132,1,6596,NA,2797909,1007909.664,627.5858728,321.8671309,409.5065222,324.0691918,6.117492653,2.786422312
NLA12_CA-135,1,7988,NA,14981180,25073613.4,2891.258763,2647.362187,1678.068687,2645.659591,29.0811843,10.20186538
NLA12_CA-138,1,8424,NA,20291151,66777.64766,431.2300125,293.7884213,250.0397917,293.4495282,1.603358602,0.749712524
NLA12_CA-141,1,8148,NA,8005415,10845.2736,110.8592877,139.8561025,193.3987287,139.8244363,1.539461934,0.672190882
NLA12_CA-145,1,7529,NA,17693779,11759.33384,263.3591644,211.6699037,257.1213629,211.9995697,0.479596158,0.251933607
NLA12_CA-154,1,7229,NA,120053477,775146.3922,968.1684464,816.8312693,638.1034507,818.7781727,5.280806602,2.090795103
NLA12_CA-156,1,8265,NA,120052909,181540.4673,1332.855236,783.2174579,688.681547,785.4828965,0.666791098,0.236259485
NLA12_CA-157,1,6642,NA,21611075,1394999.124,1616.145018,1015.992131,1447.734481,1015.505405,2.190373948,0.828241571
NLA12_CA-166,1,7423,NA,8038643,555502.2204,514.0997801,274.6626883,284.8640196,274.358586,9.022809764,4.405352541
NLA12_CA-167,1,7263,NA,14991537,305863.1324,405.9265546,501.7695862,322.8461594,501.2576532,6.377463798,3.029926178
NLA12_CA-168,1,6235,NA,22560286,164707.6541,646.073577,481.863358,536.9455751,481.7628091,1.665615302,0.583147417
NLA12_CA-172,1,6279,NA,20341411,1219238.741,458.2191357,977.6968965,706.9998095,977.0818967,11.1252953,4.760433623
NLA12_CA-174,1,6558,NA,1890236,60584.77326,394.6143621,387.9376267,697.4271578,382.5194898,0.852601913,0.395066067
NLA12_CA-179,1,6623,NA,1668851,1648.92627,242.9725709,260.2072799,349.3646464,260.5845182,0.086180312,0.031999292
NLA12_CA-180,1,7064,NA,20194524,862900501.6,7807.988667,6109.035813,7098.96484,6151.958388,86.97661701,19.27146921
NLA12_CA-181,1,8333,NA,17693813,65270.56218,337.0154883,305.6109494,570.2519327,305.603864,0.957768445,0.454207366
NLA12_CA-188,1,7712,NA,2803209,23044168.69,2563.936104,1550.869836,1625.089311,1552.379057,24.76803233,7.440198811
NLA12_CA-190,1,7208,NA,2975088,477439.031,1056.796328,469.5882609,531.6967191,471.7885023,2.532872178,0.991742299
NLA12_CA-200,1,7366,NA,8932978,485264.9531,481.5002368,437.8102246,415.3313723,437.8099964,7.408748866,3.488937117
NLA12_CA-206,1,8076,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_CA-208,1,8149,NA,2554839,2476800.929,1864.686245,1647.666952,1399.129175,1646.932793,3.908502578,1.375936934
NLA12_CA-212,1,8398,NA,2775006,473961.3586,468.0430348,550.247308,375.6182294,549.9571558,6.678659074,2.908726749
