SITE_ID,Precip_PT,E,RH_PT,TMEAN_PT,P_WY
NLA12_NH-R04,108.09,52.75175926,2.572414378,9.542692258,1258.329247
NLA12_NJ-101,101.30,59.23937071,2.824433888,11.83000005,1142.749672
NLA12_NJ-102,100.89,57.99472724,2.795108692,11.51499998,1146.323212
NLA12_NJ-103,86.55,62.79783944,2.946219765,12.81692309,1043.917281
NLA12_NJ-104,95.99,65.47105062,3.100912378,13.66961531,1078.279822
NLA12_NJ-105,106.37,56.84766292,2.737045878,11.03307694,1204.351857
NLA12_NJ-106,93.84,62.44961281,2.920867955,12.62730762,1065.011165
NLA12_NJ-107,103.37,58.41836318,2.775252192,11.5265384,1209.306006
NLA12_NJ-108,95.02,66.24114838,3.101503341,13.93692292,1082.859777
NLA12_NJ-118,99.16,55.06279112,2.656923263,10.82307702,1130.50256
NLA12_NJ-119,102.17,57.62811545,2.758244836,11.35884637,1135.687255
NLA12_NJ-131,94.92,65.70947368,3.114861484,13.87115381,1020.684949
NLA12_NJ-R01,111.85,58.68817902,2.782428533,11.61192313,1233.746064
NLA12_NM-104,20.91,56.82776369,2.611577988,11.37846176,266.1174234
NLA12_NM-105,21.32,52.93960451,2.413852853,10.59653856,266.9257491
NLA12_NM-117,31.63,42.79001554,2.024091432,7.306538288,429.501152
NLA12_NM-129,18.52,79.03646307,3.247877882,16.25346137,228.0494377
NLA12_NM-132,22.03,53.25599595,2.302700593,10.31307693,276.8358469
NLA12_NM-133,41.99,36.68335987,1.82431477,5.065384535,528.3187222
NLA12_NM-134,15.54,62.31438615,2.741536593,12.05115399,199.7234854
NLA12_NM-138,28.77,46.44325377,2.185820525,8.536538545,334.3096398
NLA12_NM-150,12.64,63.75196356,2.774547078,12.37884622,165.3778989
NLA12_NM-152,25.38,52.43107292,2.369595769,10.39230774,314.240565
NLA12_NM-160,20.17,54.30626661,2.461363114,11.02538459,240.2614681
NLA12_NM-161,61.88,31.89146769,1.656353854,2.740000018,745.6842124
NLA12_NM-162,30.77,46.52235052,2.20739083,8.021153727,390.2059851
NLA12_NV-101,11.10,46.63954241,2.277438157,7.838076977,137.0876464
NLA12_NV-102,25.02,56.52515627,2.667691676,11.00115374,299.4086741
NLA12_NV-103,17.17,55.46207457,2.580552796,10.52230767,213.9278054
NLA12_NV-104,9.06,58.49449517,2.618002082,10.80538453,108.2906764
NLA12_NV-105,14.03,50.96703272,2.311642954,8.747307502,178.8713862
NLA12_NV-106,4.96,61.65415869,2.870069118,12.04192316,64.12184574
NLA12_NV-109,4.09,62.95776553,2.737721628,12.50769202,52.10017368
NLA12_NV-119,11.29,55.67157861,2.578096584,10.31461541,136.4305232
NLA12_NV-127,25.79,43.95703682,2.1520105,6.829230775,315.3318382
NLA12_NV-137,16.26,52.56419409,2.647973918,9.984230738,195.0797899
NLA12_NV-141,6.97,61.72942084,2.95993854,12.52423072,88.39925582
NLA12_NV-144,30.78,46.1599304,2.249044988,8.291153761,409.1221611
NLA12_NV-167,15.88,44.91600763,2.159675357,6.930384544,202.9921669
NLA12_NV-177,18.34,48.91324015,2.439127167,8.6303844,298.4502026
NLA12_NV-193,29.92,43.02612532,2.333241167,7.794230773,348.5765499
NLA12_NV-R01,47.11,37.52180995,1.884499276,4.683461547,579.7248253
NLA12_NY-0101,67.21,55.43776345,2.64388358,10.41538467,757.3123363
NLA12_NY-0102,89.63,46.26739309,2.330354597,7.11307687,1018.976276
NLA12_NY-0103,95.51,53.04037917,2.572377304,9.882307731,1120.379201
