"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"742","NLA12_RI-104",2012,"PROB","CORE","NLA_RI-10040","NAP_>50",7.721755768,0
"743","NLA12_RI-110",2012,"PROB","CORE","NLA_RI-10050","NAP_(1,4]",52.66628432,0
"744","NLA12_RI-111",2012,"PROB","CORE","NLA_RI-10051","NAP_(4,10]",32.69076371,0
"745","NLA12_RI-113",2012,"PROB","CORE","NLA_RI-10052","NAP_(4,10]",32.69076371,0
"746","NLA12_SC-102",2012,"PROB","CORE","NLA_SC-10001","CPL_(10,20]",137.9573371,0
"747","NLA12_SC-103",2012,"PROB","CORE","NLA_SC-10006","SAP_>50",28.24702051,0
"748","NLA12_SC-104",2012,"PROB","CORE","NLA_SC-10010","SAP_(4,10]",102.6803509,0
"749","NLA12_SC-105",2012,"PROB","CORE","NLA_SC-10011","CPL_(4,10]",43.97334418,0
"750","NLA12_SC-106",2012,"PROB","CORE","NLA_SC-10012","SAP_>50",9.253801515,0
"751","NLA12_SC-108",2012,"PROB","CORE","NLA_SC-10014","CPL_(4,10]",43.97334418,0
"752","NLA12_SC-112",2012,"PROB","CORE","NLA_SC-10018","CPL_(4,10]",43.97334418,0
"753","NLA12_SC-118",2012,"PROB","CORE","NLA_SC-10024","CPL_>50",3.338412453,0
"754","NLA12_SC-127",2012,"PROB","CORE","NLA_SC-10033","CPL_(20,50]",7.151891314,0
"755","NLA12_SD-101",2012,"PROB","CORE","NLA_SD-10005","NPL_>50",7.091397326,0
"756","NLA12_SD-104",2012,"PROB","CORE","NLA_SD-10007","TPL_(10,20]",103.4330784,0
"757","NLA12_SD-103",2012,"PROB","CORE","NLA_SD-10010","TPL_>50",35.07096145,0
"758","NLA12_SD-106",2012,"PROB","CORE","NLA_SD-10015","TPL_>50",6.405795632,0
"759","NLA12_SD-114",2012,"PROB","CORE","NLA_SD-10016","TPL_(20,50]",48.81915908,0
"760","NLA12_SD-111",2012,"PROB","CORE","NLA_SD-10023","TPL_(20,50]",48.81915908,0
