SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_CA-154,1,3.2,L-375-12_12_2514,ND;X2
NLA12_CA-R06,1,2.58,120731.1,NA
NLA12_NH-111,1,4.06,120731.1,NA
NLA12_OH-118,1,0.92,120802.1,NA
NLA12_RI-103,1,6.25,120731.1,NA
NLA12_VA-118,1,126.4,120731.1,NA
NLA12_SD-108,1,17.76,120802.1,NA
NLA12_IA-101,2,108.67,120810.1,NA
NLA12_MN-113,1,194.4,120731.1,NA
NLA12_TX-112,1,5.23,120731.1,NA
NLA12_TX-152,1,340,120802.1,NA
NLA12_IL-104,1,15.81,120802.1,NA
NLA12_OR-155,1,9.52,120731.1,NA
NLA12_MI-144,1,3.64,120802.1,NA
NLA12_CA-R10,1,5.29,120802.1,NA
NLA12_MO-103,1,17.12,120802.1,NA
NLA12_WA-126,1,2.01,120802.1,NA
NLA12_WA-112,1,14.16,120802.1,NA
NLA12_WA-108,1,6.99,120731.1,NA
NLA12_VA-110,1,9.06,120802.1,NA
NLA12_VA-103,1,13.46,120802.1,NA
NLA12_OK-299,1,2.08,CHLL-20120919,NA
NLA12_CA-167,1,1.3,L-379-12_12_2515,ND;X2
NLA12_RI-108,1,7.01,120802.1,NA
NLA12_TX-201,1,15.17,120731.1,NA
NLA12_NY-0109,1,5.02,120731.1,NA
NLA12_SD-105,1,63.36,120802.1,NA
NLA12_IN-146,1,2.64,120802.1,NA
NLA12_PA-114,1,2.24,NOT PROVIDED,NA
NLA12_NV-177,1,5.26,120802.1,NA
NLA12_NV-137,1,15.12,120802.1,NA
NLA12_NV-119,2,9.74,120810.1,NA
NLA12_NV-101,2,7.14,120725.2,NA
NLA12_IL-106,1,66.24,120802.1,NA
NLA12_NY-0111,1,2.25,120731.1,NA
NLA12_OK-296,1,96.8,CHLL-20120919,NA
NLA12_NY-R08,1,2.84,120731.1,NA
NLA12_IN-116,1,11.28,120802.1,NA
NLA12_CA-R05,1,1.07,120802.1,NA
NLA12_AZ-140,1,NA,NA,NA
NLA12_AL-R03,1,4.3,120802.1,NA
NLA12_AL-103,1,12.2,120802.1,NA
NLA12_OH-127,1,1.89,120802.1,NA
NLA12_NH-109,1,0.94,120802.1,NA
NLA12_ME-R11,1,3.49,120808.1,NA
NLA12_MD-103,1,28.4,120802.1,NA
NLA12_TX-182,1,50.72,120802.1,NA
NLA12_RI-111,2,14.64,120802.1,NA
NLA12_NV-144,1,16.23,120802.1,NA
NLA12_GA-102,1,85.6,120802.1,NA
NLA12_ME-114,1,2.2,120814.1,NA
NLA12_MT-106,1,0.57,120802.1,NA
NLA12_CO-119,1,1.46,120802.1,NA
NLA12_CO-106,1,4.49,120802.1,NA
NLA12_CA-R01,1,0.57,120802.1,NA
NLA12_NY-R04,1,60.8,120802.1,NA
NLA12_NY-R11,1,2.28,120802.1,NA
NLA12_CA-111,1,1.7,L-378-12_12_2516,ND;X2
NLA12_NE-101,1,23.2,120808.1,NA
NLA12_ND-114,1,16.78,120808.1,NA
NLA12_SD-133,1,52,120802.1,NA
NLA12_PA-R10,1,1.37,120808.1,NA
NLA12_PA-R11,1,3.77,120808.1,NA
NLA12_OK-306,1,1.83,CHLL-20120919,NA
NLA12_CA-200,1,1.6,L-387-12_12_2617,ND;X2
NLA12_UT-203,1,0.23,120802.1,NA
NLA12_AL-104,1,10.85,120808.1,NA
NLA12_NE-106,1,60.11,120808.1,NA
NLA12_IN-108,1,16.8,120808.1,NA
NLA12_IA-120,2,10.8,120810.1,NA
NLA12_MS-103,1,9.98,120808.1,NA
NLA12_AL-101,2,7.56,120731.1,NA
NLA12_AL-112,1,17.33,120802.1,NA
NLA12_AL-R05,1,6.22,120731.1,NA
NLA12_NY-R07,1,55.07,120808.1,NA
NLA12_VA-R14,1,7.97,120808.1,NA
NLA12_CA-R03,1,1.43,120808.1,NA
NLA12_NH-101,2,1.7,120810.1,NA
NLA12_MN-126,1,9.09,120808.1,NA
NLA12_WY-124,1,0.53,120808.1,NA
NLA12_ND-109,1,12.48,120808.1,NA
NLA12_IL-120,1,46.88,120808.1,NA
NLA12_ME-R08,1,1.62,120808.1,NA
NLA12_ME-R02,1,1.82,120808.1,NA
NLA12_AR-101,1,26.4,120808.1,NA
NLA12_AL-105,2,31.6,120808.1,NA
NLA12_CO-129,1,1.03,120808.1,NA
NLA12_CA-R02,1,1.47,120808.1,NA
NLA12_OK-119,1,28.8,CHLL-20120919,NA
NLA12_MN-141,1,4.78,120808.1,NA
NLA12_MS-126,1,11.25,120808.1,NA
NLA12_NE-110,1,190.4,120808.1,NA
NLA12_WY-102,1,18.24,120808.1,NA
NLA12_AR-105,1,7.15,120808.1,NA
NLA12_VA-104,1,4.03,120808.1,NA
NLA12_MN-110,1,16,120808.1,NA
NLA12_ID-210,1,0.7,120808.1,NA
NLA12_ID-145,1,0.63,120808.1,NA
NLA12_SD-189,1,19.25,120808.1,NA
NLA12_MO-101,1,60,120808.1,NA
NLA12_ND-149,1,176.14,120810.1,NA
NLA12_ND-164,1,120.38,120810.1,NA
NLA12_MN-R12,1,5.44,120810.1,NA
NLA12_ME-134,1,1.92,120814.1,NA
NLA12_NY-R06,1,2.4,120808.1,NA
NLA12_NY-R03,1,2.5,120808.1,NA
